block_number,attacker,victim_tx_index,bundle_size,profit,cost,coinbase_profit
25265923,0x01FDC48BA0903BB1AE7C517C9287D88EA236F8E1,1,3,0.0160253954670227750,0.0118819393148165740,0.0117376664835557290
25265903,0x01FDC48BA0903BB1AE7C517C9287D88EA236F8E1,1,3,0.0170011340542525280,0.0129172712857290020,0.0127889083745795080
25265902,0x000000000035B5E5AD9019092C665357240F594E,3,3,0.0555987575138628630,0.0522261381837195050,0.0519203208669577510
25265665,0x00000000003B3CC22AF3AE1EAC0440BCEE416B40,28,3,0.0016687413213218860,0.0000741928611527850,0.0000393417795437630
25265651,0x00000000003B3CC22AF3AE1EAC0440BCEE416B40,1,3,0.0184846511638226880,0.0165499905853033290,0.0163827362026144890
25265618,0x000000000035B5E5AD9019092C665357240F594E,3,4,0.1610779366718215460,0.1504720019361627790,0.1500901906157349490
25265561,0x01FDC48BA0903BB1AE7C517C9287D88EA236F8E1,19,4,0.0054966340186151340,0.0038928022341677150,0.0038773257081069400
25265552,0x01FDC48BA0903BB1AE7C517C9287D88EA236F8E1,81,4,0.0025769139071990330,0.0007057177377322650,0.0006574476873609730
25265523,0x01FDC48BA0903BB1AE7C517C9287D88EA236F8E1,1,3,0.0207613910118501180,0.0188583669018585940,0.0187099839234843100
25265395,0x000000000035B5E5AD9019092C665357240F594E,12,3,0.0024638397313995190,0.0010887178129058490,0.0009279723017644890
